	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	ErrorCorrelation_6_38vs7_35	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	ErrorCorrelation_38_6vs7_6	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	Final208_206	Final208_206_Int2SE	ExtraMetaData
SB18_19	VPXIISB18_20.FIN2	08/09/2013 (1) 01:42:50.00	08/09/2013 (1)	01:42:50.00	22.985	VPXIISB18_20.FIN2	5.39	0.19	0.39	0.328	0.013	0.019	0.81885	3.04878	0.1766062	0.1121	0.0017	0.0049	-0.20285	0.0938	0.0054	no value	NAN	no value	NAN	FILENAME: VPXIISB18_20.FIN2
SB18_20	VPXIISB18_21.FIN2	08/09/2013 (1) 01:46:55.00	08/09/2013 (1)	01:46:55.00	22.985	VPXIISB18_21.FIN2	5.36	0.11	0.36	0.3347	0.0046	0.016	0.59624	2.98775	0.1428264	0.1143	0.0018	0.0050	0.12892	0.0986	0.0029	no value	NAN	no value	NAN	FILENAME: VPXIISB18_21.FIN2
SB18_21	VPXIISB18_22.FIN2	08/09/2013 (1) 01:48:16.00	08/09/2013 (1)	01:48:16.00	22.986	VPXIISB18_22.FIN2	4.030	0.043	0.26	0.2920	0.0025	0.013	0.57036	3.424658	0.1524676	0.09826	0.00085	0.0041	0.25648	0.0881	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB18_22.FIN2
SB18_22	VPXIISB18_23.FIN2	08/09/2013 (1) 01:49:36.00	08/09/2013 (1)	01:49:36.00	22.985	VPXIISB18_23.FIN2	14.13	0.20	0.92	0.5430	0.0079	0.026	0.84172	1.841621	0.08818073	0.1843	0.0014	0.0077	0.24454	0.1602	0.0033	no value	NAN	no value	NAN	FILENAME: VPXIISB18_23.FIN2
SB18_23	VPXIISB18_24.FIN2	08/09/2013 (1) 01:50:57.00	08/09/2013 (1)	01:50:57.00	22.986	VPXIISB18_24.FIN2	3.251	0.051	0.21	0.2477	0.0025	0.011	0.60824	4.037142	0.1792836	0.0930	0.0011	0.0040	0.15307	0.0730	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB18_24.FIN2
SB18_24	VPXIISB18_25.FIN2	08/09/2013 (1) 01:52:17.00	08/09/2013 (1)	01:52:17.00	22.986	VPXIISB18_25.FIN2	13.94	0.18	0.91	0.5409	0.0060	0.025	0.64014	1.848771	0.08544882	0.1845	0.0020	0.0078	0.3317	0.1534	0.0022	no value	NAN	no value	NAN	FILENAME: VPXIISB18_25.FIN2
SB18_25	VPXIISB18_26.FIN2	08/09/2013 (1) 01:55:01.00	08/09/2013 (1)	01:55:01.00	22.985	VPXIISB18_26.FIN2	0.858	0.010	0.056	0.1012	0.0010	0.0047	0.65135	9.881423	0.4589198	0.06038	0.00057	0.0025	0.26225	0.03295	0.00051	no value	NAN	no value	NAN	FILENAME: VPXIISB18_26.FIN2
SB18_26	VPXIISB18_27.FIN2	08/09/2013 (1) 01:56:22.00	08/09/2013 (1)	01:56:22.00	22.986	VPXIISB18_27.FIN2	3.688	0.079	0.25	0.2782	0.0038	0.013	0.48497	3.594536	0.167969	0.0949	0.0017	0.0043	0.16724	0.0857	0.0027	no value	NAN	no value	NAN	FILENAME: VPXIISB18_27.FIN2
SB18_27	VPXIISB18_28.FIN2	08/09/2013 (1) 01:57:42.00	08/09/2013 (1)	01:57:42.00	22.986	VPXIISB18_28.FIN2	3.043	0.040	0.20	0.2483	0.0022	0.011	0.46455	4.027386	0.1784182	0.0884	0.0010	0.0038	0.24907	0.0734	0.0012	no value	NAN	no value	NAN	FILENAME: VPXIISB18_28.FIN2
SB18_28	VPXIISB18_29.FIN2	08/09/2013 (1) 01:59:03.00	08/09/2013 (1)	01:59:03.00	22.985	VPXIISB18_29.FIN2	14.49	0.17	0.94	0.5546	0.0054	0.025	0.66069	1.803101	0.08127936	0.1886	0.0018	0.0079	0.294	0.1513	0.0020	no value	NAN	no value	NAN	FILENAME: VPXIISB18_29.FIN2
SB18_29	VPXIISB18_30.FIN2	08/09/2013 (1) 02:00:24.00	08/09/2013 (1)	02:00:24.00	22.986	VPXIISB18_30.FIN2	6.873	0.067	0.44	0.3951	0.0035	0.018	0.62996	2.531005	0.1153077	0.12500	0.00096	0.0052	0.34462	0.1142	0.0014	no value	NAN	no value	NAN	FILENAME: VPXIISB18_30.FIN2
SB18_30	VPXIISB18_31.FIN2	08/09/2013 (1) 02:04:29.00	08/09/2013 (1)	02:04:29.00	22.986	VPXIISB18_31.FIN2	2.180	0.031	0.14	0.2012	0.0017	0.0092	0.50006	4.970179	0.2272646	0.07807	0.00094	0.0033	0.15767	0.06117	0.00095	no value	NAN	no value	NAN	FILENAME: VPXIISB18_31.FIN2
SB18_31	VPXIISB18_32.FIN2	08/09/2013 (1) 02:05:50.00	08/09/2013 (1)	02:05:50.00	22.985	VPXIISB18_32.FIN2	4.13	0.10	0.28	0.2780	0.0060	0.014	0.93367	3.597122	0.18115	0.10667	0.00099	0.0045	-0.070609	0.0960	0.0012	no value	NAN	no value	NAN	FILENAME: VPXIISB18_32.FIN2
SB18_32	VPXIISB18_33.FIN2	08/09/2013 (1) 02:07:10.00	08/09/2013 (1)	02:07:10.00	22.986	VPXIISB18_33.FIN2	14.24	0.18	0.93	0.5467	0.0063	0.025	0.81166	1.829157	0.08364536	0.1874	0.0014	0.0078	0.15698	0.1530	0.0031	no value	NAN	no value	NAN	FILENAME: VPXIISB18_33.FIN2
SB18_33	VPXIISB18_34.FIN2	08/09/2013 (1) 02:08:31.00	08/09/2013 (1)	02:08:31.00	22.986	VPXIISB18_34.FIN2	5.955	0.065	0.39	0.3626	0.0031	0.017	0.59471	2.75786	0.1292985	0.1188	0.0011	0.0050	0.21654	0.1002	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_34.FIN2
SB18_34	VPXIISB18_35.FIN2	08/09/2013 (1) 02:09:52.00	08/09/2013 (1)	02:09:52.00	22.985	VPXIISB18_35.FIN2	5.854	0.073	0.38	0.3566	0.0037	0.016	0.53361	2.804262	0.1258222	0.1188	0.0013	0.0050	0.2587	0.1055	0.0023	no value	NAN	no value	NAN	FILENAME: VPXIISB18_35.FIN2
SB18_35	VPXIISB18_36.FIN2	08/09/2013 (1) 02:12:35.00	08/09/2013 (1)	02:12:35.00	22.986	VPXIISB18_36.FIN2	5.012	0.078	0.33	0.3235	0.0051	0.015	0.89052	3.09119	0.1433318	0.11254	0.00080	0.0047	0.11943	0.1585	0.0094	no value	NAN	no value	NAN	FILENAME: VPXIISB18_36.FIN2
SB18_36	VPXIISB18_37.FIN2	08/09/2013 (1) 02:13:56.00	08/09/2013 (1)	02:13:56.00	22.985	VPXIISB18_37.FIN2	2.626	0.083	0.19	0.2254	0.0041	0.011	0.27421	4.436557	0.2165134	0.0835	0.0028	0.0044	0.31408	0.0689	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_37.FIN2
SB18_37	VPXIISB18_38.FIN2	08/09/2013 (1) 02:15:16.00	08/09/2013 (1)	02:15:16.00	22.985	VPXIISB18_38.FIN2	6.362	0.081	0.41	0.3748	0.0040	0.017	0.58977	2.66809	0.1210179	0.1243	0.0014	0.0053	0.23	0.1071	0.0013	no value	NAN	no value	NAN	FILENAME: VPXIISB18_38.FIN2
SB18_38	VPXIISB18_39.FIN2	08/09/2013 (1) 02:16:37.00	08/09/2013 (1)	02:16:37.00	22.986	VPXIISB18_39.FIN2	6.702	0.081	0.44	0.3911	0.0045	0.018	0.84266	2.556891	0.1176784	0.12423	0.00089	0.0052	0.14861	0.1127	0.0017	no value	NAN	no value	NAN	FILENAME: VPXIISB18_39.FIN2
SB18_39	VPXIISB18_40.FIN2	08/09/2013 (1) 02:17:58.00	08/09/2013 (1)	02:17:58.00	22.985	VPXIISB18_40.FIN2	5.617	0.088	0.37	0.3456	0.0042	0.016	0.54056	2.893519	0.1339592	0.1181	0.0016	0.0051	0.22201	0.0975	0.0027	no value	NAN	no value	NAN	FILENAME: VPXIISB18_40.FIN2
SB18_40	VPXIISB18_41.FIN2	08/09/2013 (1) 02:22:03.00	08/09/2013 (1)	02:22:03.00	22.985	VPXIISB18_41.FIN2	0.852	0.043	0.069	0.1016	0.0023	0.0051	0.31435	9.84252	0.4940635	0.0618	0.0030	0.0039	0.1462	0.0320	0.0012	no value	NAN	no value	NAN	FILENAME: VPXIISB18_41.FIN2
SB18_41	VPXIISB18_42.FIN2	08/09/2013 (1) 02:23:24.00	08/09/2013 (1)	02:23:24.00	22.986	VPXIISB18_42.FIN2	6.230	0.074	0.41	0.3689	0.0035	0.017	0.50368	2.710762	0.1249199	0.1223	0.0013	0.0052	0.27995	0.1129	0.0025	no value	NAN	no value	NAN	FILENAME: VPXIISB18_42.FIN2
SB18_42	VPXIISB18_43.FIN2	08/09/2013 (1) 02:24:44.00	08/09/2013 (1)	02:24:44.00	22.986	VPXIISB18_43.FIN2	3.475	0.037	0.23	0.2702	0.0027	0.012	0.80834	3.700962	0.1643655	0.09336	0.00063	0.0039	0.105	0.0803	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB18_43.FIN2
SB18_43	VPXIISB18_44.FIN2	08/09/2013 (1) 02:26:05.00	08/09/2013 (1)	02:26:05.00	22.985	VPXIISB18_44.FIN2	16.65	0.23	1.1	0.5856	0.0069	0.027	0.71732	1.70765	0.07873388	0.2060	0.0019	0.0086	0.23411	0.1614	0.0035	no value	NAN	no value	NAN	FILENAME: VPXIISB18_44.FIN2
SB18_44	VPXIISB18_45.FIN2	08/09/2013 (1) 02:27:26.00	08/09/2013 (1)	02:27:26.00	22.986	VPXIISB18_45.FIN2	5.492	0.063	0.36	0.3431	0.0032	0.016	0.47038	2.914602	0.1359185	0.1168	0.0013	0.0049	0.39816	0.0970	0.0013	no value	NAN	no value	NAN	FILENAME: VPXIISB18_45.FIN2
SB18_45	VPXIISB18_46.FIN2	08/09/2013 (1) 02:30:10.00	08/09/2013 (1)	02:30:10.00	22.985	VPXIISB18_46.FIN2	5.623	0.080	0.37	0.3450	0.0034	0.016	0.5425	2.898551	0.1344255	0.1183	0.0015	0.0051	0.1123	0.0974	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB18_46.FIN2
SB18_46	VPXIISB18_47.FIN2	08/09/2013 (1) 02:31:30.00	08/09/2013 (1)	02:31:30.00	22.986	VPXIISB18_47.FIN2	2.211	0.039	0.15	0.1984	0.0028	0.0094	0.6109	5.040323	0.2388056	0.0809	0.0011	0.0035	0.15782	0.0590	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB18_47.FIN2
SB18_47	VPXIISB18_48.FIN2	08/09/2013 (1) 02:32:51.00	08/09/2013 (1)	02:32:51.00	22.986	VPXIISB18_48.FIN2	5.509	0.081	0.36	0.3384	0.0037	0.016	0.49263	2.955083	0.1397202	0.1161	0.0016	0.0050	0.31419	0.0939	0.0020	no value	NAN	no value	NAN	FILENAME: VPXIISB18_48.FIN2
SB18_48	VPXIISB18_49.FIN2	08/09/2013 (1) 02:34:11.00	08/09/2013 (1)	02:34:11.00	22.985	VPXIISB18_49.FIN2	5.924	0.089	0.39	0.3493	0.0034	0.016	0.60531	2.862869	0.1311363	0.1224	0.0014	0.0052	0.090961	0.1005	0.0014	no value	NAN	no value	NAN	FILENAME: VPXIISB18_49.FIN2
SB18_49	VPXIISB18_50.FIN2	08/09/2013 (1) 02:35:32.00	08/09/2013 (1)	02:35:32.00	22.986	VPXIISB18_50.FIN2	4.740	0.049	0.31	0.3177	0.0026	0.015	0.66957	3.147624	0.148613	0.10763	0.00080	0.0045	0.20679	0.0950	0.0013	no value	NAN	no value	NAN	FILENAME: VPXIISB18_50.FIN2
SB18_50	VPXIISB18_51.FIN2	08/09/2013 (1) 02:39:37.00	08/09/2013 (1)	02:39:37.00	22.986	VPXIISB18_51.FIN2	5.615	0.065	0.37	0.3361	0.0032	0.015	0.65202	2.975305	0.1327866	0.1192	0.0011	0.0050	0.18085	0.0972	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB18_51.FIN2
SB18_51	VPXIISB18_52.FIN2	08/09/2013 (1) 02:40:57.00	08/09/2013 (1)	02:40:57.00	22.986	VPXIISB18_52.FIN2	17.92	0.17	1.2	0.5727	0.0052	0.026	0.73035	1.746115	0.07927185	0.2238	0.0016	0.0093	0.32327	0.1544	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_52.FIN2
SB18_52	VPXIISB18_53.FIN2	08/09/2013 (1) 02:42:18.00	08/09/2013 (1)	02:42:18.00	22.985	VPXIISB18_53.FIN2	6.20	0.11	0.41	0.3644	0.0054	0.017	0.49677	2.744237	0.1280242	0.1223	0.0020	0.0054	0.3556	0.1024	0.0015	no value	NAN	no value	NAN	FILENAME: VPXIISB18_53.FIN2
SB18_53	VPXIISB18_54.FIN2	08/09/2013 (1) 02:43:39.00	08/09/2013 (1)	02:43:39.00	22.986	VPXIISB18_54.FIN2	4.886	0.062	0.32	0.3187	0.0029	0.015	0.67284	3.137747	0.1476819	0.1095	0.0011	0.0046	0.15012	0.0927	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB18_54.FIN2
